Marital_status,Previous_qualification,Displaced,Debtor,tuition_paid,Gender,has_scholarship,enrollment_age,course_sem1_enrolled,course_sem1_evaluated,course_sem1_passed,course_sem1_grade,course_sem2_enrolled,course_sem2_evaluated,course_sem2_passed,course_sem2_grade,Target
1,0,1,0,1,0,0,18,7,9,7,13.044444444444444,8,10,8,13.595,0
2,0,0,0,1,0,0,39,6,10,0,0.0,6,6,0,0.0,1
1,0,1,0,1,0,0,18,8,8,8,14.935,8,8,8,14.935,0
1,0,0,0,1,0,0,18,7,8,6,13.133333333333333,8,12,7,12.221428571428572,0
1,3,0,0,1,0,1,21,6,7,6,12.0,6,7,6,12.0,0
1,0,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,0
1,3,1,0,1,1,0,23,6,8,6,12.571428571428571,6,7,6,12.428571428571429,0
1,0,0,0,1,1,0,24,7,8,7,11.975,8,8,8,13.75,0
1,0,1,0,1,1,0,19,0,0,0,0.0,0,0,0,0.0,1
1,0,1,0,1,1,0,18,6,12,3,11.666666666666666,6,12,1,12.0,1
1,0,1,0,1,1,0,18,6,8,6,12.333333333333334,6,11,3,12.333333333333334,0
1,0,1,1,1,1,0,18,5,8,3,10.333333333333334,5,11,3,10.857142857142858,1
1,0,1,0,1,1,1,21,6,8,4,10.5,6,11,1,11.0,1
1,0,1,1,1,1,1,19,6,6,6,13.666666666666666,6,6,6,13.333333333333334,0
1,0,0,0,1,1,1,22,7,7,7,14.842857142857142,8,9,8,15.055555555555555,0
2,0,0,0,1,1,0,33,6,8,6,12.0,6,6,6,11.666666666666666,0
1,0,1,0,1,1,0,35,1,1,0,0.0,5,0,0,0.0,1
2,0,1,0,1,0,0,33,6,7,6,11.0,6,11,5,11.0,0
1,0,1,0,1,0,1,22,8,8,7,13.08,8,8,7,13.08,0
1,0,0,0,1,0,1,25,5,7,4,10.5,5,7,5,11.6,0
1,0,1,0,1,1,0,20,6,9,6,10.666666666666666,6,6,5,11.2,0
1,0,0,0,1,1,0,24,7,18,0,0.0,7,7,0,0.0,1
1,0,1,0,0,0,0,21,6,6,6,14.0,6,6,6,13.5,0
1,0,0,0,1,0,0,26,6,7,2,12.0,6,6,0,0.0,1
2,1,0,0,1,0,0,39,6,12,3,12.666666666666666,6,14,0,0.0,1
2,0,0,0,1,0,0,44,8,11,8,11.875,6,7,6,12.333333333333334,0
1,0,1,0,1,0,0,18,6,6,6,13.666666666666666,6,6,6,13.333333333333334,0
1,0,1,0,1,0,1,18,7,7,7,13.75,8,9,8,14.47777777777778,0
1,0,1,1,0,0,0,19,7,10,4,11.96,7,7,0,0.0,1
1,0,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,0
2,0,1,0,1,0,0,36,6,0,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,1
1,0,0,1,1,0,0,20,10,12,10,13.0,11,11,11,12.272727272727272,0
1,0,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,0,20,6,15,4,14.2,6,17,4,13.25,1
1,0,1,0,1,0,0,20,7,9,6,13.266666666666666,7,10,5,12.3,1
1,0,1,0,1,0,0,18,6,8,6,13.857142857142858,6,6,6,15.0,0
1,0,1,0,1,0,0,19,5,6,5,13.4,5,5,5,12.8,0
1,0,1,0,1,0,0,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,0
1,0,1,0,1,0,0,18,7,7,6,12.516666666666666,7,7,6,12.516666666666666,1
1,0,0,0,1,0,0,18,5,12,5,13.142857142857142,5,6,5,11.4,0
1,0,0,0,1,0,0,18,5,5,5,12.6,5,5,5,14.0,0
1,0,1,0,1,0,0,21,6,12,3,11.0,6,12,2,11.0,1
1,0,1,0,1,0,0,19,5,8,5,10.8,5,9,4,11.25,0
1,0,0,0,1,0,0,19,0,0,0,0.0,0,0,0,0.0,1
1,0,0,0,1,0,1,19,5,5,5,12.8,5,5,5,14.2,0
1,0,1,0,1,0,0,19,6,15,6,14.166666666666666,6,13,6,12.2,0
1,3,1,0,1,0,0,20,6,7,6,14.166666666666666,6,17,5,13.77777777777778,0
1,0,1,0,1,0,0,18,6,7,6,13.0,6,6,6,13.666666666666666,0
1,0,1,0,1,0,1,18,7,9,7,13.2375,8,9,7,13.742857142857144,1
1,0,1,0,1,0,0,18,6,6,6,12.333333333333334,6,6,6,13.0,0
1,0,1,0,1,0,0,19,5,7,5,12.4,5,5,5,14.6,0
1,0,0,0,1,0,0,20,9,15,9,11.666666666666666,7,8,7,11.714285714285714,0
1,0,0,1,0,0,1,19,6,7,5,12.0,6,9,4,12.5,1
1,0,1,0,1,0,0,20,5,7,4,12.2,5,5,4,11.5,0
1,0,0,0,1,0,0,18,7,8,7,17.125,8,8,8,17.5875,0
1,0,1,0,1,0,0,19,7,7,6,12.666666666666666,7,7,6,12.666666666666666,0
1,0,1,0,1,0,1,19,6,7,6,11.333333333333334,6,6,6,11.5,0
1,0,1,0,1,0,1,19,7,10,7,13.605,8,11,8,12.33125,0
1,0,1,0,1,0,1,19,6,10,5,12.0,6,9,5,10.8,0
1,0,1,0,1,0,0,19,5,10,0,0.0,5,10,0,0.0,1
1,0,1,0,1,0,0,20,6,8,5,11.2,6,12,3,11.666666666666666,1
1,0,0,0,1,0,0,18,5,10,5,13.375,5,9,5,14.166666666666666,0
1,0,0,0,1,0,1,20,7,8,6,13.863333333333337,8,9,7,14.178571428571429,0
1,0,0,0,1,0,0,19,5,6,5,12.4,5,6,5,13.4,0
1,0,1,0,1,0,0,18,6,7,6,13.333333333333334,6,8,5,11.8,0
1,0,1,0,1,0,0,21,6,10,3,12.666666666666666,6,12,3,10.0,1
1,0,0,0,1,0,0,19,6,8,6,12.0,6,10,4,11.5,1
1,0,0,0,1,0,1,18,5,5,5,10.6,5,5,5,11.8,0
1,0,1,0,1,0,1,18,6,8,6,12.25,6,7,6,11.857142857142858,0
1,0,1,0,1,0,0,20,6,10,4,11.0,6,9,6,11.833333333333334,0
1,0,0,0,1,0,1,24,6,11,5,11.0,6,9,5,12.6,0
1,0,0,0,1,0,0,19,6,6,6,13.166666666666666,6,9,6,13.0,1
1,0,1,0,1,0,1,18,7,9,7,12.855555555555554,8,12,7,12.761111111111113,0
1,0,1,0,1,0,0,18,7,8,7,14.91875,8,8,8,15.355,0
1,0,1,0,1,0,0,21,6,13,4,11.5,6,10,3,11.0,1
1,0,0,0,1,0,0,19,5,5,5,14.2,5,5,5,14.2,0
1,0,0,0,1,0,1,19,6,6,6,12.5,6,7,6,13.0,0
1,0,0,0,1,0,0,19,6,10,5,11.666666666666666,6,12,4,11.0,0
1,0,0,0,1,0,0,29,8,8,7,14.257142857142856,8,8,7,14.257142857142856,0
1,0,1,0,1,0,0,21,6,13,3,12.0,6,12,2,11.333333333333334,1
1,0,0,0,1,0,0,20,7,8,7,12.457142857142856,8,8,8,13.5625,0
1,0,1,0,1,0,0,19,7,7,6,11.683333333333332,7,7,6,11.683333333333332,0
1,0,0,0,1,0,0,26,6,10,3,11.666666666666666,6,8,5,12.0,0
1,0,1,1,0,0,0,20,6,8,4,11.75,6,6,6,13.166666666666666,1
1,0,0,0,1,0,0,27,6,9,5,13.2,6,10,5,12.0,0
1,0,1,0,1,0,0,20,7,8,4,11.95,7,8,4,11.95,1
1,0,1,0,1,0,0,18,6,8,5,12.4,6,12,5,10.4,1
1,0,0,0,1,0,0,33,7,8,6,14.35,8,10,6,14.583333333333334,1
1,3,0,1,0,0,0,27,6,6,5,12.0,6,6,0,0.0,1
1,0,1,0,0,0,0,19,6,6,6,12.166666666666666,6,6,0,0.0,1
1,0,0,0,1,0,0,20,6,0,0,0.0,6,0,0,0.0,1
1,0,1,1,0,0,0,20,5,9,3,10.0,5,9,3,10.571428571428571,1
1,0,1,0,1,0,1,18,7,7,6,13.05,7,7,6,13.05,0
1,0,1,0,1,0,0,24,6,10,2,11.0,6,6,0,0.0,1
1,0,1,0,1,0,0,20,6,7,6,11.5,6,6,6,12.0,0
1,0,0,0,1,0,1,21,6,7,6,12.0,6,6,6,12.5,0
1,0,1,0,1,0,0,24,5,5,0,0.0,5,5,0,0.0,1
1,0,0,0,1,0,0,21,6,0,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,0,18,8,8,7,12.242857142857144,8,8,7,12.242857142857144,0
1,0,0,0,1,0,0,35,5,0,0,0.0,5,0,0,0.0,1
1,0,0,0,1,0,0,18,7,9,7,12.571428571428571,7,8,7,14.428571428571429,0
1,0,1,0,1,0,0,19,5,9,4,13.75,5,13,4,14.333333333333334,0
1,0,1,0,1,0,0,20,6,8,6,11.166666666666666,6,6,6,11.333333333333334,0
1,0,1,0,1,0,0,18,8,8,7,12.324285714285711,8,8,7,12.324285714285711,0
1,3,0,1,1,0,0,21,6,6,6,12.166666666666666,6,7,6,11.714285714285714,0
1,0,0,0,1,0,1,18,6,11,5,11.142857142857142,6,11,4,11.25,0
1,0,1,0,1,0,0,18,6,9,4,11.0,6,9,4,10.75,0
1,0,1,0,1,0,0,18,8,8,7,12.914285714285713,8,8,7,12.914285714285713,0
1,0,1,0,1,0,1,18,6,6,6,13.833333333333334,6,6,6,14.166666666666666,0
1,0,1,0,1,0,0,19,6,8,6,13.857142857142858,6,9,5,13.4,0
1,3,0,0,1,0,1,36,6,7,6,13.714285714285714,6,6,5,12.8,1
1,0,1,0,1,0,1,18,8,8,7,12.642857142857142,8,8,7,12.642857142857142,0
1,0,0,0,1,0,1,18,7,7,6,12.916666666666666,7,7,6,12.916666666666666,0
1,0,1,0,1,0,1,20,6,8,6,15.625,6,8,6,15.857142857142858,0
1,0,0,0,1,0,1,26,5,7,0,0.0,5,8,0,0.0,1
1,0,0,0,1,0,0,21,6,8,6,11.714285714285714,6,7,6,12.0,0
1,0,1,0,1,0,1,19,5,7,5,11.6,5,5,5,11.6,0
1,0,0,0,1,0,1,27,6,16,1,10.0,6,13,0,0.0,1
1,0,0,0,1,0,0,21,5,10,0,0.0,5,9,2,13.5,1
1,0,0,0,1,0,1,18,5,7,4,13.0,5,8,3,12.333333333333334,0
2,0,0,0,1,0,1,19,6,6,6,13.333333333333334,6,6,6,14.5,0
1,0,1,0,1,0,0,18,6,9,4,11.25,6,13,2,12.5,1
1,0,0,0,1,0,1,19,7,9,5,13.85,8,9,7,12.19285714285714,0
1,0,1,0,1,0,1,19,7,8,6,13.741666666666667,8,9,7,14.9125,0
2,0,0,0,1,0,0,45,5,6,5,11.0,5,5,5,13.8,0
1,0,0,0,1,0,1,20,6,6,6,12.0,6,7,6,12.857142857142858,0
1,0,1,0,1,0,0,28,5,5,0,0.0,5,5,0,0.0,1
1,0,1,0,1,0,1,19,8,15,7,11.571428571428571,8,15,7,11.571428571428571,0
1,0,1,0,1,0,0,18,6,10,6,12.857142857142858,6,6,3,12.666666666666666,0
1,0,0,0,1,0,0,38,6,0,0,0.0,6,0,0,0.0,1
1,0,0,0,1,0,0,19,5,5,5,13.0,5,5,5,13.2,0
1,0,0,0,1,0,1,21,6,9,5,11.0,6,8,5,12.0,0
1,0,0,0,1,0,1,22,6,6,5,12.6,6,6,6,13.0,0
1,0,0,0,1,0,1,18,6,8,5,13.4,6,7,6,13.166666666666666,0
1,0,0,0,1,0,1,18,6,9,6,11.333333333333334,6,9,6,11.571428571428571,0
1,0,1,0,0,0,0,25,5,14,4,13.5,5,10,4,14.25,1
1,3,0,1,0,0,0,24,6,11,3,11.75,6,14,3,10.333333333333334,1
1,0,1,0,1,0,1,20,5,5,5,11.6,5,5,5,13.6,0
1,0,0,0,0,0,0,25,5,5,0,0.0,5,9,0,0.0,1
1,0,0,0,1,0,1,20,10,13,9,12.9,10,12,10,12.363636363636363,0
1,0,0,0,1,0,0,23,8,8,8,13.22,8,8,8,13.22,0
1,0,1,0,1,0,1,19,8,8,7,13.151428571428571,8,8,7,13.151428571428571,0
1,3,0,1,0,0,0,29,6,13,3,12.75,6,8,3,11.333333333333334,1
1,0,1,0,1,0,0,21,6,8,6,11.333333333333334,6,8,4,12.25,0
1,0,1,0,1,0,1,18,6,10,6,13.25,6,13,5,14.142857142857142,0
1,0,1,0,1,0,1,18,6,6,6,15.0,6,6,6,12.833333333333334,1
1,0,0,0,1,0,0,19,5,6,5,14.4,5,6,5,13.0,0
1,0,0,0,1,0,0,18,5,8,5,12.4,5,6,5,10.8,0
2,3,1,1,0,0,1,37,7,13,1,16.0,7,12,0,0.0,1
1,0,1,0,1,0,1,19,6,8,5,11.666666666666666,6,9,5,12.666666666666666,0
1,0,1,1,0,0,0,22,10,16,6,11.833333333333334,7,8,2,13.0,1
1,0,0,0,1,0,1,20,6,8,6,11.166666666666666,6,10,5,10.6,0
1,0,0,0,1,0,0,34,6,0,0,0.0,6,0,0,0.0,1
1,0,0,1,0,0,0,30,12,17,8,11.75,12,19,6,12.166666666666666,1
1,0,0,0,1,0,0,18,6,7,6,14.0,6,7,6,14.0,0
1,0,0,0,1,0,0,18,6,6,6,12.833333333333334,6,6,6,12.0,0
1,0,1,0,1,0,0,18,6,11,4,12.25,6,10,3,11.666666666666666,0
1,0,1,0,1,0,0,18,8,8,7,14.828571428571427,8,8,7,14.828571428571427,0
1,0,1,0,1,0,1,19,6,7,5,11.4,6,8,5,12.8,0
1,0,1,0,1,0,1,19,6,6,6,13.0,6,8,6,12.5,0
1,0,0,0,1,0,1,18,8,8,7,13.671428571428573,8,8,7,13.671428571428573,0
1,3,0,0,1,0,1,21,6,9,6,12.666666666666666,6,8,5,12.8,0
1,0,1,0,0,0,0,20,5,10,2,10.0,5,12,1,13.0,1
1,0,1,0,1,0,0,20,5,10,5,13.5,5,8,5,12.333333333333334,0
1,0,0,0,1,0,0,19,7,8,7,12.67,8,8,8,13.55,0
1,0,0,0,1,0,0,20,6,8,6,14.5,6,7,6,15.428571428571429,0
1,0,1,0,1,0,0,18,7,7,7,13.685714285714283,8,8,8,15.3875,0
1,0,0,0,1,0,0,20,6,8,5,11.0,6,10,3,10.666666666666666,1
1,0,1,0,1,0,1,20,7,8,7,14.00375,8,11,7,13.812857142857142,0
1,0,1,0,1,0,1,22,5,8,4,12.0,5,8,4,11.4,0
2,0,0,0,1,0,0,31,5,5,5,14.0,5,5,5,13.8,0
1,0,0,0,1,0,1,21,6,7,5,13.8,6,6,6,12.833333333333334,0
1,0,0,0,1,0,0,21,6,8,5,12.8,6,10,6,11.857142857142858,0
2,2,0,0,1,0,0,24,6,6,6,12.166666666666666,6,6,6,13.833333333333334,0
1,2,0,0,1,0,0,32,6,9,4,12.0,6,12,4,11.5,0
1,0,1,0,1,0,1,19,6,8,6,10.833333333333334,6,9,6,11.5,0
1,0,1,0,1,0,0,24,8,8,8,13.385,8,8,8,13.385,0
1,0,1,0,1,0,0,19,6,14,6,15.666666666666666,6,9,6,14.5,0
1,3,0,1,1,0,1,19,6,9,6,14.333333333333334,6,7,6,13.833333333333334,0
1,0,1,0,1,0,1,19,6,9,5,12.0,6,10,2,11.333333333333334,1
2,0,0,0,1,0,1,19,8,8,7,14.725714285714288,8,8,7,14.725714285714288,0
1,0,1,0,1,0,1,18,6,6,6,14.166666666666666,6,6,6,13.666666666666666,0
1,0,1,0,1,0,0,18,6,10,6,11.571428571428571,6,8,6,12.333333333333334,0
1,0,1,0,1,0,0,20,7,7,7,12.5,8,8,8,13.1375,0
1,0,0,0,1,0,0,18,8,10,8,12.86,8,10,8,12.86,0
1,0,1,0,1,0,0,18,6,10,6,12.25,6,9,6,13.714285714285714,0
1,0,1,0,1,0,1,21,5,7,4,12.0,5,5,5,12.2,0
1,0,0,0,1,0,1,18,7,9,7,15.116666666666667,8,9,8,16.168888888888887,0
1,0,0,1,0,0,0,18,5,6,2,12.5,5,6,4,10.25,1
1,0,1,0,1,0,0,19,6,11,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,0,18,6,8,6,11.875,6,11,4,14.6,0
1,0,1,0,1,0,0,34,5,6,1,11.0,5,5,0,0.0,1
1,0,0,0,1,0,0,19,5,5,5,15.2,5,6,5,13.2,0
1,3,1,1,0,0,0,19,6,7,5,11.6,6,12,2,11.0,1
1,0,0,1,1,0,0,26,6,6,6,14.833333333333334,6,7,6,15.142857142857142,0
1,0,1,0,1,0,0,21,6,12,3,11.333333333333334,6,10,3,11.333333333333334,1
1,0,0,0,1,0,1,18,5,5,5,11.2,5,5,5,11.8,0
1,0,1,0,1,0,1,20,6,8,5,13.4,6,9,5,13.666666666666666,0
1,0,0,0,1,0,0,25,5,12,2,10.5,5,5,0,0.0,1
1,0,0,0,1,0,0,18,5,5,5,16.2,5,5,5,16.4,0
1,0,1,0,1,0,1,18,7,7,7,14.542857142857144,8,11,8,14.88181818181818,0
1,0,0,0,1,0,0,19,7,7,7,13.694285714285714,8,9,8,14.355555555555554,0
1,0,0,0,1,0,1,18,6,8,6,11.285714285714286,6,10,6,11.857142857142858,0
1,0,1,0,1,0,1,19,8,8,7,13.058571428571428,8,8,7,13.058571428571428,0
1,0,0,0,1,0,0,19,7,7,7,14.3,8,9,8,14.055555555555555,0
1,0,0,0,1,0,0,19,10,15,5,11.8,10,14,8,12.0,0
1,0,1,0,1,0,0,18,6,7,6,10.571428571428571,6,11,3,11.666666666666666,0
1,1,1,0,1,0,0,19,7,7,6,13.333333333333334,7,7,6,13.333333333333334,0
1,0,0,1,1,0,0,18,6,10,6,11.857142857142858,6,9,5,11.0,0
1,3,0,1,1,0,0,26,5,6,0,0.0,5,5,0,0.0,1
1,0,1,0,1,0,0,20,6,7,6,12.0,6,7,6,13.0,0
1,0,0,0,1,0,0,19,6,6,6,12.666666666666666,6,6,6,11.666666666666666,0
1,0,1,0,1,0,1,18,6,6,6,12.166666666666666,6,9,6,13.666666666666666,0
1,3,0,0,1,0,0,19,6,6,6,13.333333333333334,6,6,6,14.666666666666666,0
1,0,1,0,1,0,1,18,8,8,8,13.39125,8,8,8,13.39125,0
1,0,0,0,1,0,0,19,6,9,5,12.166666666666666,6,8,6,12.428571428571429,0
1,0,0,0,1,0,0,18,5,9,4,11.25,5,6,4,12.5,0
1,0,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,1
2,0,1,0,1,0,0,33,6,7,6,12.833333333333334,6,8,6,12.857142857142858,0
1,0,0,0,1,0,0,35,6,10,6,14.0,6,11,6,13.1,0
1,0,1,0,1,0,0,18,6,7,6,13.5,6,8,6,12.5,0
2,0,0,0,1,0,0,44,6,8,6,13.0,6,6,6,13.833333333333334,0
1,0,1,0,1,0,0,24,6,9,4,12.6,6,6,4,11.5,1
1,0,0,0,1,0,1,20,6,6,6,13.666666666666666,6,6,6,13.333333333333334,0
1,0,1,0,0,0,0,19,0,0,0,0.0,0,0,0,0.0,1
2,0,0,1,1,0,1,18,7,7,6,14.2,7,7,6,14.2,0
1,0,0,1,0,0,0,22,6,10,5,11.0,6,12,0,0.0,1
1,0,1,0,1,0,0,18,6,7,6,15.0,6,7,6,16.428571428571427,0
1,3,0,0,1,0,0,24,7,9,6,12.585714285714284,8,9,7,13.44285714285714,0
1,0,0,0,1,0,0,33,5,0,0,0.0,5,0,0,0.0,1
1,0,1,0,1,0,0,18,6,7,6,11.666666666666666,6,10,6,11.833333333333334,0
1,0,0,1,1,0,0,19,6,13,3,12.666666666666666,6,12,2,10.0,1
1,0,1,0,1,0,1,21,6,13,6,16.153846153846153,6,10,6,15.75,0
1,0,1,0,1,0,1,21,7,7,6,14.033333333333331,7,7,6,14.033333333333331,0
1,0,0,0,1,0,1,19,6,6,6,13.833333333333334,6,7,6,14.428571428571429,0
2,3,0,0,1,0,0,31,6,0,0,0.0,6,0,0,0.0,1
1,0,1,0,0,0,0,34,5,5,0,0.0,5,0,0,0.0,1
1,0,1,0,1,0,1,18,7,7,7,15.135714285714286,8,8,8,15.287499999999998,0
1,0,0,0,1,0,1,19,6,7,6,13.428571428571429,6,6,6,13.166666666666666,0
1,0,0,0,1,0,0,19,6,8,6,11.5,6,7,6,11.166666666666666,0
1,0,0,0,1,0,0,18,6,6,6,13.666666666666666,6,9,6,12.333333333333334,0
1,3,0,0,1,0,1,21,6,6,6,14.666666666666666,6,6,6,14.166666666666666,0
1,0,0,0,0,0,0,20,5,8,2,10.5,5,8,2,12.333333333333334,1
1,0,0,0,1,0,0,18,6,7,6,14.857142857142858,6,7,6,14.0,0
1,0,1,0,1,0,1,19,8,11,7,12.86,8,11,7,12.86,0
1,0,1,0,1,0,0,20,11,12,11,11.727272727272728,11,14,11,12.0,0
1,3,1,0,1,0,1,22,6,11,6,13.142857142857142,6,10,3,12.0,0
1,0,1,1,1,0,0,18,6,6,5,11.8,6,9,4,13.714285714285714,1
1,0,1,0,1,0,0,19,8,8,7,14.731428571428571,8,8,7,14.731428571428571,0
1,0,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0
1,0,0,0,1,0,0,19,6,6,6,14.666666666666666,6,7,6,14.571428571428571,0
1,0,1,0,1,0,1,18,8,8,7,14.654285714285717,8,8,7,14.654285714285717,0
1,0,0,0,1,0,0,24,8,8,7,12.401428571428571,8,8,7,12.401428571428571,0
1,0,1,0,1,0,0,20,7,8,7,11.5875,8,9,7,14.071428571428571,0
1,0,1,0,1,0,1,20,6,9,6,12.333333333333334,6,6,6,11.833333333333334,0
1,0,0,0,1,0,0,18,5,5,5,14.0,5,6,5,15.4,0
1,0,1,0,1,0,0,19,6,13,6,15.23076923076923,6,10,6,12.375,0
1,0,1,0,1,0,0,23,6,9,5,11.6,6,9,3,11.0,1
1,0,1,0,1,0,1,18,7,7,6,11.6,7,7,6,11.6,0
1,0,0,0,1,0,0,18,7,0,0,0.0,8,0,0,0.0,1
1,0,0,0,1,0,1,19,7,7,7,12.901428571428571,8,9,8,13.094444444444443,0
1,0,0,0,1,0,0,30,7,9,7,14.142857142857142,5,5,5,14.8,0
1,3,1,0,1,0,0,29,6,0,0,0.0,6,0,0,0.0,1
1,0,0,0,1,0,0,20,7,7,6,13.916666666666666,7,7,6,13.916666666666666,0
1,0,1,0,1,0,0,19,6,8,6,13.5,6,9,6,13.571428571428571,0
1,0,0,0,1,0,0,19,6,10,5,11.5,6,9,4,14.6,0
1,0,1,0,1,0,1,18,8,8,7,12.082857142857142,8,8,7,12.082857142857142,0
1,0,0,0,1,0,1,27,6,8,6,11.833333333333334,6,10,5,12.8,0
1,0,1,0,1,0,1,19,5,6,5,13.4,5,5,5,12.4,0
1,0,0,0,1,0,1,19,7,7,0,0.0,7,7,0,0.0,1
1,0,1,0,1,0,0,19,6,7,5,14.2,6,7,6,14.571428571428571,0
1,0,0,0,1,0,1,18,6,6,6,14.5,6,8,6,13.666666666666666,0
1,0,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,1
2,3,1,0,1,0,0,36,7,7,6,11.3,7,7,6,11.3,0
1,0,1,0,1,0,1,18,8,8,7,12.694285714285714,8,8,7,12.694285714285714,0
1,0,0,0,1,0,0,18,5,5,4,11.0,5,5,4,11.0,0
1,0,1,0,1,0,1,19,6,6,6,13.0,6,6,6,14.166666666666666,0
1,0,0,0,1,0,1,19,7,8,7,14.4125,8,8,8,16.05,0
1,0,1,0,1,0,0,18,7,8,7,12.92875,8,8,8,14.0625,1
1,0,1,0,1,0,0,20,6,6,6,13.333333333333334,6,10,5,12.8,0
1,0,1,0,1,0,0,20,8,8,7,14.402857142857142,8,8,7,14.402857142857142,0
1,0,1,0,1,0,1,18,8,8,7,13.381428571428572,8,8,7,13.381428571428572,0
1,0,1,0,1,0,0,18,7,8,7,14.13125,8,8,8,13.98375,0
1,0,0,0,1,0,0,19,5,11,5,11.714285714285714,5,6,5,12.6,0
2,0,0,0,1,0,0,44,6,9,6,11.166666666666666,6,15,2,11.0,0
1,0,0,0,1,0,0,32,6,7,0,0.0,6,6,0,0.0,1
1,0,0,0,1,0,0,22,6,9,5,13.6,6,8,5,12.0,1
2,0,1,0,1,0,0,36,12,14,12,13.846153846153848,12,18,11,14.090909090909092,0
1,0,0,0,1,0,1,18,6,7,6,12.5,6,8,6,13.333333333333334,0
1,0,1,0,1,0,0,20,5,5,5,16.4,5,5,5,14.6,0
1,0,0,0,1,0,1,20,11,11,11,13.818181818181818,11,11,11,13.454545454545457,0
1,0,0,0,1,0,0,19,6,8,5,10.6,6,11,4,10.5,0
1,3,1,1,1,0,0,24,5,8,5,10.2,5,6,5,12.2,0
1,0,0,0,1,0,0,27,10,10,9,11.444444444444445,11,11,5,10.8,1
1,0,1,0,1,0,1,18,8,9,8,13.31,8,9,8,13.31,0
